timestamp,engine,engine_path,fen,time_ms,depth,nodes,bestmove,score_cp,tt_hits,hashfull
2025-09-07_11-12-24,seajay,/workspace/bin/seajay,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,3000,17,1816046,b1c3,17,48.5,130
2025-09-07_11-12-24,seajay,/workspace/bin/seajay,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 1,3000,15,1749603,d5e6,-70,45.63,135
2025-09-07_11-12-24,seajay,/workspace/bin/seajay,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1,3000,17,3821568,b4c4,109,48.25,186
2025-09-07_11-12-24,seajay,/workspace/bin/seajay,4r1k1/r1q2ppp/ppp2n2/4P3/5Rb1/1N1BQ3/PPP3PP/R5K1 w - - 1 1,3000,18,2695168,f4f6,39,43.81,154
