timestamp,engine,engine_path,fen,time_ms,depth,nodes,bestmove,score_cp,tt_hits,hashfull
2025-09-07_11-11-59,seajay,/workspace/bin/seajay,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,3000,18,2662286,e2e4,26,45.87,154
2025-09-07_11-11-59,seajay,/workspace/bin/seajay,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 1,3000,15,1463639,e2a6,-29,42.77,110
2025-09-07_11-11-59,seajay,/workspace/bin/seajay,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1,3000,17,3580835,b4f4,153,43.43,145
2025-09-07_11-11-59,seajay,/workspace/bin/seajay,4r1k1/r1q2ppp/ppp2n2/4P3/5Rb1/1N1BQ3/PPP3PP/R5K1 w - - 1 1,3000,17,2215460,e3g3,-27,43.87,136
