timestamp,engine,engine_path,fen,time_ms,depth,nodes,bestmove,score_cp,tt_hits,hashfull
2025-09-07_11-30-33,seajay,/workspace/bin/seajay,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1000,14,565180,d2d4,16,48.07,33
2025-09-07_11-30-33,seajay,/workspace/bin/seajay,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 1,1000,13,600558,d5e6,-85,46.35,41
2025-09-07_11-30-33,seajay,/workspace/bin/seajay,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1,1000,16,955491,b4c4,28,49.96,46
